ee,epe,ene,pfe,time
-2697688.719898093,542541.4689723278,-3240230.188870432,5331420.725907609,0.5
-3989710.2321551642,677610.5592338825,-4667320.791389041,7061458.368034117,1.0
-1622320.997612799,1611046.3882788413,-3233367.385891664,11209818.971340548,1.5
-2965863.4382441235,1313169.9949403028,-4279033.433184419,10659418.37505383,2.0
-244574.79466497726,2350286.1590367784,-2594860.953701755,13481189.393003253,2.5
-2234018.7484316486,1532339.8300394462,-3766358.5784710976,11383671.026521653,3.0
-429360.721730148,2209543.488148535,-2638904.209878699,13053053.160644826,3.5
-1704567.402986592,1637420.853257718,-3341988.256244314,11401516.367640838,4.0
90554.69036672493,2272940.979716161,-2182386.289349438,12343714.191477733,4.5
-1187112.710604771,1595705.7619069158,-2782818.472511698,10216546.331981644,5.0
539060.6255840153,2192477.662910123,-1653417.0373261136,10701082.4775205,5.5
-677339.3354478447,1414124.8111743487,-2091464.146622197,8084000.655189312,6.0
920472.0350171379,2018243.2763533345,-1097771.2413362076,8461943.512568427,6.5
-423362.33995991363,1153302.9614275498,-1576665.3013874646,5840244.127783879,7.0
148306.49606854655,1385269.6535522477,-1236963.1574837137,6132016.237083018,7.5
-182471.23642204973,1183599.5024642064,-1366070.7388862611,5486633.510675951,8.0
368460.29403217917,1405841.2835707658,-1037380.9895385868,5675553.012859256,8.5
23488.877645472352,1174494.4723976809,-1151005.594752211,5028550.35019787,9.0
546001.2859816095,1395242.321711408,-849241.0357297966,5352858.881203604,9.5
165280.05637405938,1131589.2435266403,-966309.1871525755,4660796.378721179,10.0
457367.10318253766,1258248.1504507156,-800881.0472681766,4824919.254425583,10.5
198440.1697097651,1086601.7957722298,-888161.626062475,4368390.304091557,11.0
489581.8307088502,1209421.5490994132,-719839.7183905554,4584290.469714898,11.5
241638.62258787928,1032219.0335005128,-790580.4109126368,4198606.841410752,12.0
527018.4884126687,1151422.9406317612,-624404.452219084,4323710.5924157025,12.5
272904.60667458863,956006.3980853301,-683101.7914107437,3867575.296428609,13.0
604482.3310109912,1097421.421249901,-492939.09023892385,4123480.5069394,13.5
402394.4222861366,921374.9726987041,-518980.5504125645,3769544.9073078725,14.0
742114.5793082429,1069491.1961574738,-327376.6168492354,3914042.4422554052,14.5
549767.8476155361,894266.4732702551,-344498.62565472245,3578382.873613534,15.0
1062163.202299358,1168778.9411890262,-106615.73888966834,3782112.7472525565,15.5
628237.280514057,817405.0672809973,-189167.78676693904,3121189.9584330716,16.0
1129570.9695667855,1191780.0869763508,-62209.11740956762,3418403.9821740417,16.5
677030.8816224891,900229.8189729729,-223198.93735048376,2912012.3673338178,17.0
1171625.1791224454,1336546.3099580817,-164921.13083563943,3408794.9463278675,17.5
709338.3405776622,1091041.6214868447,-381703.2809091738,3132931.7026596433,18.0
1176779.5270106145,1509390.4155807304,-332610.8885701144,3731980.777874676,18.5
699355.5937936493,1286102.3283157537,-586746.7345220895,3578348.234537798,19.0
1124115.9202843115,1658164.6916889104,-534048.7714045937,4320646.0096097505,19.5
582752.3434139895,1420596.0939705255,-837843.7505565359,4256536.201697666,20.0
314535.3091572382,1219893.299177224,-905357.9900199764,3874103.5472656824,20.5
514635.3852969881,1299477.632271377,-784842.2469743843,3953409.5336275427,21.0
250773.5680536586,1105448.1234710903,-854674.5554174271,3560206.515738273,21.5
448862.53072105825,1175699.650912531,-726837.1201914668,3628404.130585159,22.0
182818.6955060122,979900.9686496165,-797082.2731436072,3223732.624211162,22.5
382439.4856052923,1044053.7536568997,-661614.2680516193,3280143.8882687236,23.0
99908.1244543103,836460.7018577079,-736552.5774033887,2834038.0840332992,23.5
289963.6302334689,886532.9167042761,-596569.2864708038,2845700.4142114716,24.0
4833.006020859317,678327.6343458134,-673494.6283249423,2392471.608986908,24.5
192183.7211933348,721921.9210659037,-529738.1998725664,2397311.529523303,25.0
-74976.35909073467,522677.6873901337,-597654.0464808717,1939408.4209177596,25.5
129396.16388298378,569938.5220515085,-440542.3581685243,1940212.7718685132,26.0
-133195.70727051276,374533.72488737886,-507729.43215789035,1475825.950490753,26.5
77868.70976717556,418208.145988511,-340339.4362213368,1470561.765480967,27.0
-181959.05156593362,228289.894159936,-410248.94572586945,984468.8280237619,27.5
31184.190025688804,263874.32746745454,-232690.13744176383,956495.3837123746,28.0
-221224.99535652727,90810.96849072089,-312035.96384724986,473696.2659203455,28.5
-1003.6200787325654,121466.92685566857,-122470.54693439619,450365.3434614117,29.0
-237724.26213253633,0.0,-237724.26213253633,0.0,29.5
0.0,0.0,0.0,0.0,30.0
